Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
AMZN,BA,JPM,META,MSFT,PSA,AMZN,BA,JPM,META,MSFT,PSA,AMZN,BA,JPM,META,MSFT,PSA,AMZN,BA,JPM,META,MSFT,PSA,AMZN,BA,JPM,META,MSFT,PSA,AMZN,BA,JPM,META,MSFT,PSA
159.3314971923828,202.72000122070312,119.02960968017578,268.94000244140625,214.47911071777344,202.26571655273438,159.3314971923828,202.72000122070312,125.87000274658203,268.94000244140625,217.69000244140625,220.1999969482422,163.60000610351562,210.1999969482422,127.86000061035156,275.0,223.0,231.97000122070312,157.2010040283203,202.49000549316406,124.77999877929688,265.20001220703125,214.80999755859375,219.9499969482422,163.5,210.0,127.5,274.7799987792969,222.52999877929688,230.32000732421875,88228000,21225600,16819900,15106100,37130100,911800
160.92550659179688,211.6300048828125,119.67729949951172,270.9700012207031,214.68601989746094,199.6662139892578,160.92550659179688,211.6300048828125,125.6500015258789,270.9700012207031,217.89999389648438,217.3699951171875,161.16900634765625,213.35000610351562,126.30000305175781,272.3999938964844,218.52000427246094,221.61000061035156,158.2530059814453,204.60000610351562,123.7699966430664,268.2099914550781,215.6999969482422,216.14999389648438,158.30050659179688,204.74000549316406,124.98999786376953,268.2900085449219,217.25999450683594,219.3300018310547,53110000,19338300,13731200,9871600,23823000,1094800
156.91900634765625,211.02999877929688,125.29682922363281,263.30999755859375,209.11935424804688,196.4053497314453,156.91900634765625,211.02999877929688,131.5500030517578,263.30999755859375,212.25,213.82000732421875,159.87550354003906,215.61000061035156,132.77000427246094,267.75,216.49000549316406,217.89999389648438,156.55799865722656,209.33999633789062,127.87999725341797,260.010009765625,211.94000244140625,212.22000122070312,157.32400512695312,210.22000122070312,129.8800048828125,262.0,212.1699981689453,216.35000610351562,87896000,16202200,24909100,24354100,35930700,1506100
158.10800170898438,212.7100067138672,129.41146850585938,268.739990234375,215.07025146484375,199.7397003173828,158.10800170898438,212.7100067138672,135.8699951171875,268.739990234375,218.2899932861328,217.4499969482422,160.427001953125,216.60000610351562,138.19000244140625,271.6099853515625,219.33999633789062,218.52000427246094,157.75,211.77999877929688,134.9199981689453,264.7799987792969,213.7100067138672,213.0500030517578,157.85000610351562,213.38999938964844,135.69000244140625,265.8999938964844,214.0399932861328,214.11000061035156,70290000,14474100,21940400,15789800,27694500,1224300
159.13499450683594,209.89999389648438,129.55435180664062,267.57000732421875,216.38064575195312,204.48863220214844,159.13499450683594,209.89999389648438,136.02000427246094,267.57000732421875,219.6199951171875,222.6199951171875,159.53199768066406,214.10000610351562,136.35000610351562,268.95001220703125,220.5800018310547,223.6300048828125,157.11000061035156,208.16000366210938,134.1199951171875,263.17999267578125,217.02999877929688,218.49000549316406,159.0,213.61000061035156,135.97000122070312,268.30999755859375,218.67999267578125,218.49000549316406,70754000,14144000,12035100,18528300,22956200,805500
155.7104949951172,206.7899932861328,131.48785400390625,256.8399963378906,214.2820587158203,203.230224609375,155.7104949951172,206.7899932861328,138.0500030517578,256.8399963378906,217.49000549316406,221.25,157.81900024414062,207.77999877929688,138.1999969482422,263.4700012207031,218.91000366210938,222.7100067138672,155.5,201.00999450683594,134.11000061035156,255.89999389648438,216.72999572753906,217.8699951171875,157.40049743652344,203.02999877929688,134.5800018310547,260.4800109863281,218.47000122070312,221.94000244140625,73668000,16770300,15937900,30412300,23031300,738900
156.04150390625,208.41000366210938,133.55470275878906,251.08999633789062,211.7598114013672,204.1395721435547,156.04150390625,208.41000366210938,140.22000122070312,251.08999633789062,214.92999267578125,222.24000549316406,157.10699462890625,209.05999755859375,141.66000366210938,259.7200012207031,217.10000610351562,222.8699951171875,154.3000030517578,204.80999755859375,138.8300018310547,250.3000030517578,213.32000732421875,219.02999877929688,156.0,206.64999389648438,139.44000244140625,256.6300048828125,216.5,220.1699981689453,70292000,12836200,18033500,26383500,23249300,690200
158.29449462890625,207.2100067138672,133.6785430908203,251.63999938964844,213.14901733398438,206.48187255859375,158.29449462890625,207.2100067138672,140.35000610351562,251.63999938964844,216.33999633789062,224.7899932861328,159.49749755859375,208.7899932861328,140.7899932861328,253.9499969482422,216.75999450683594,225.6300048828125,156.10400390625,204.85000610351562,138.10000610351562,249.1999969482422,213.92999267578125,222.25,156.4219970703125,207.14999389648438,138.58999633789062,251.5500030517578,214.02000427246094,222.25,66424000,8570500,14816800,19528900,20087100,785400
156.37350463867188,209.91000366210938,134.45953369140625,245.63999938964844,209.87799072265625,203.21182250976562,156.37350463867188,209.91000366210938,141.1699981689453,245.63999938964844,213.02000427246094,221.22999572753906,158.89999389648438,214.19000244140625,142.75,255.02999877929688,217.4600067138672,224.77000427246094,156.0294952392578,208.2100067138672,140.0,244.61000061035156,212.74000549316406,220.83999633789062,158.37600708007812,208.7899932861328,140.49000549316406,253.39999389648438,215.91000366210938,224.77000427246094,61418000,12446800,18565600,29739400,29480800,773100
